chrom	start	end	H1_DamID_LMNB1_rep0	H1_DamID_4xAP3_rep0	H1_TSA_LMNB1_rep1	H1_TSA_LMNB1_rep2	H1_TSA_SON_rep1	H1_TSA_SON_rep2
chr1	75000	100000	-0.562713	0.310341	-1.340394	-1.394053	0.734573	0.782571
chr1	125000	150000	-0.753291	0.334628	-1.129103	-1.454551	0.766052	1.172708
chr1	175000	200000	-1.144891	0.072750	-1.028716	-0.981707	0.920492	0.860612
chr1	625000	650000	0.798175	-0.164128	0.096903	-0.549742	-0.007191	0.005991
chr1	750000	775000	-0.890750	-0.247803	-1.346995	-1.242412	0.726106	0.825573
chr1	800000	825000	-0.674792	-0.163498	-1.812938	-1.837428	0.996939	1.068523
chr1	825000	850000	-3.260967	0.762534	-1.439252	-1.828246	1.167174	1.224272
chr1	850000	875000	-2.008797	-0.574220	-1.925293	-2.059572	1.101406	1.317324
chr1	875000	900000	-2.353388	0.355384	-2.663232	-2.251401	0.916427	1.245698
chr1	900000	925000	-2.742341	-0.408506	-1.581690	-1.793818	1.606115	1.957457
chr1	925000	950000	-3.179816	-0.486270	-1.308882	-1.255697	2.091100	2.025449
chr1	950000	975000	-2.659107	0.217890	-1.726193	-1.631578	1.982851	2.044784
chr1	975000	1000000	-1.506585	-0.504168	-1.893845	-1.692547	1.784353	1.987745
chr1	1000000	1025000	-3.540183	-0.006521	-1.307171	-1.478090	1.790447	2.151370
chr1	1025000	1050000	-2.258337	-0.030725	-1.714066	-1.453393	2.129323	2.270814
chr1	1050000	1075000	-1.027179	0.581332	-1.409223	-1.541094	1.940876	1.959176
chr1	1075000	1100000	-1.857834	0.132187	-1.311717	-1.502954	1.761970	2.133808
chr1	1100000	1125000	-2.552324	0.288564	-1.945985	-1.632418	1.561567	2.050632
chr1	1125000	1150000	-2.482187	-1.424105	-1.464452	-1.448156	1.921571	2.004646
chr1	1150000	1175000	-2.490355	-0.585577	-1.667392	-1.558594	1.814304	2.012441
chr1	1175000	1200000	-2.351151	-0.358865	-1.948531	-1.532830	1.498149	1.881684
chr1	1200000	1225000	-1.871857	0.569472	-1.900969	-1.771317	1.785207	2.088256
chr1	1225000	1250000	-3.135824	0.201500	-1.639057	-1.494252	1.857261	2.100352
chr1	1250000	1275000	-2.440319	0.131583	-1.765031	-1.568117	1.841546	1.954401
chr1	1275000	1300000	-1.148321	-0.271174	-1.809781	-1.267239	2.020644	2.106205
chr1	1300000	1325000	-2.470211	-0.010296	-1.609569	-1.600803	2.210787	2.393547
chr1	1325000	1350000	-2.442986	0.133835	-1.424375	-1.354179	2.295152	2.468189
chr1	1350000	1375000	-3.216047	-1.460209	-1.694186	-1.709390	2.017352	2.390555
chr1	1375000	1400000	-3.123132	-0.472862	-1.678577	-1.753284	1.821572	2.149314
chr1	1400000	1425000	-3.490523	-0.501896	-1.866069	-1.572841	1.783459	2.142180
chr1	1425000	1450000	-3.869904	0.150542	-1.508846	-1.765094	1.960407	2.180631
chr1	1450000	1475000	-2.256720	-0.340522	-1.511102	-1.544671	2.048275	2.056214
chr1	1475000	1500000	-2.676123	0.295417	-1.774307	-1.600803	1.992727	2.182872
chr1	1500000	1525000	-1.766877	0.744116	-1.422017	-1.588393	1.945288	2.227138
chr1	1525000	1550000	-3.961864	-0.293946	-1.727486	-1.449734	1.964177	2.156041
chr1	1550000	1575000	-3.506487	0.369190	-1.753959	-1.540523	1.620699	1.904034
chr1	1575000	1600000	-2.620381	0.256752	-1.828665	-1.971524	1.478357	1.699169
chr1	1600000	1625000	-2.770440	0.525213	-1.843570	-1.742936	1.788910	1.924007
chr1	1625000	1650000	-2.607775	0.286931	-1.508173	-1.611916	1.724749	2.057208
chr1	1650000	1675000	-3.202219	0.151392	-1.807936	-2.144977	1.304683	1.751615
chr1	1675000	1700000	-3.382867	-0.865153	-1.193380	-1.785116	1.875022	1.954226
chr1	1700000	1725000	-1.090278	0.736244	-1.739312	-1.837323	1.468096	1.865132
chr1	1725000	1750000	-3.305390	0.522685	-1.814784	-1.789935	1.594911	1.689743
chr1	1750000	1775000	-3.730299	-0.087738	-2.012384	-1.871235	1.412720	1.480292
chr1	1775000	1800000	-3.412882	-0.042059	-1.610673	-1.496732	1.510531	1.526508
chr1	1800000	1825000	-3.331453	-0.276419	-2.163283	-1.724793	1.051375	1.169290
chr1	1825000	1850000	-4.451246	-0.405792	-2.021934	-1.689543	1.127107	1.455257
chr1	1850000	1875000	-4.033267	-0.045742	-1.680389	-1.774711	1.103658	1.308209
chr1	1875000	1900000	-3.580269	-0.519869	-1.749854	-1.911180	1.234824	1.378029
chr1	1900000	1925000	-1.804989	-0.077319	-1.669272	-1.468547	1.553752	1.493154
chr1	1925000	1950000	-3.284460	0.118013	-1.518391	-1.509255	1.458301	1.483597
chr1	1950000	1975000	-3.078405	0.215145	-1.821387	-1.810142	1.350708	1.180807
chr1	1975000	2000000	-2.954896	0.238457	-1.603280	-1.521915	1.263422	1.427248
chr1	2000000	2025000	-2.775695	0.419060	-2.001886	-1.741291	1.293284	1.325694
chr1	2025000	2050000	-3.472606	0.220470	-1.429263	-1.839387	1.553471	1.513636
chr1	2050000	2075000	-2.369811	0.865427	-1.786380	-1.365450	1.332891	1.488686
chr1	2075000	2100000	-3.204368	1.314807	-1.180149	-1.525235	1.556972	1.465782
chr1	2100000	2125000	-3.436372	0.378351	-1.520760	-1.688622	1.523772	1.489149
chr1	2125000	2150000	-2.784689	0.130033	-1.849116	-1.497196	1.290457	1.417466
chr1	2150000	2175000	-2.798165	0.407545	-1.821387	-1.894448	1.550199	1.365053
chr1	2175000	2200000	-3.149501	-0.346335	-1.571865	-1.588644	1.531006	1.796237
chr1	2200000	2225000	-2.724374	-0.416260	-1.879490	-1.482703	1.730022	1.589810
chr1	2225000	2250000	-4.535672	-0.170690	-1.128310	-1.567315	1.383642	1.555026
chr1	2250000	2275000	-3.349857	-0.628751	-1.537021	-1.532830	1.503898	1.383237
chr1	2275000	2300000	-3.712976	-0.517342	-1.204730	-1.322219	1.432207	1.573369
chr1	2300000	2325000	-2.465664	-0.462770	-1.269949	-1.592779	1.576725	1.622812
chr1	2325000	2350000	-3.142908	0.084018	-1.787859	-1.789342	1.427450	1.556161
chr1	2350000	2375000	-2.306609	0.064234	-1.841875	-1.577703	1.329078	1.352930
chr1	2375000	2400000	-2.043068	0.650380	-2.072969	-2.029677	1.661554	1.538164
chr1	2400000	2425000	-2.830533	0.039513	-1.823395	-1.583544	1.761202	1.591835
chr1	2425000	2450000	-3.346614	-0.078085	-1.502926	-1.466148	1.687037	1.506517
chr1	2450000	2475000	-2.084580	-0.014870	-1.557561	-1.540075	1.777972	1.788823
chr1	2475000	2500000	-1.078995	0.085920	-1.546914	-1.714075	1.714407	1.902032
chr1	2500000	2525000	-1.953110	-0.361104	-1.801810	-1.428805	1.631440	1.862857
chr1	2525000	2550000	-2.912113	-0.478124	-1.340821	-1.191275	1.698840	1.839594
chr1	2550000	2575000	-2.650516	-1.138189	-1.132097	-1.728366	1.312385	1.546274
chr1	2575000	2600000	-2.743832	0.412760	-1.848057	-1.580809	1.470001	1.360451
chr1	2600000	2625000	-1.156967	0.168536	-2.092971	-1.991185	1.053560	1.032425
chr1	2625000	2650000	-2.419798	0.530649	-1.611001	-1.950847	1.222387	1.496204
chr1	2775000	2800000	-0.886163	1.077659	-1.857685	-1.809028	0.930831	1.007706
chr1	2800000	2825000	-0.429103	1.559060	-1.872668	-1.925730	1.323472	1.384845
chr1	2825000	2850000	-1.115629	1.816779	-2.005020	-1.637339	1.024807	1.014359
chr1	2875000	2900000	-0.707222	0.007246	-1.529303	-1.757857	1.273946	1.053412
chr1	2900000	2925000	-0.875341	0.080429	-1.282122	-1.509255	1.047893	1.140168
chr1	2925000	2950000	-1.005190	1.324606	-1.616455	-1.649332	1.137018	1.109735
chr1	2950000	2975000	-0.868185	1.866685	-1.574952	-1.852585	0.987002	0.969068
chr1	2975000	3000000	-0.956505	1.728006	-1.932929	-1.925780	1.017933	0.841270
chr1	3000000	3025000	-0.963660	0.315115	-1.738314	-1.737171	1.027916	0.906708
chr1	3025000	3050000	-1.972499	1.673821	-1.879490	-1.823649	1.011113	1.006721
chr1	3050000	3075000	-3.386416	0.155014	-1.782814	-1.461390	1.177079	1.303130
chr1	3075000	3100000	-2.646941	-1.326722	-1.443988	-1.562954	1.290424	1.106982
chr1	3100000	3125000	-2.384075	-0.153746	-1.224019	-1.504771	1.288589	1.409653
chr1	3125000	3150000	-3.737193	-0.163819	-1.616455	-1.568367	1.259477	1.190130
chr1	3150000	3175000	-1.946627	0.792878	-1.348394	-1.445372	1.165512	1.256067
chr1	3175000	3200000	-2.556772	-1.119310	-1.692894	-1.621178	1.308469	1.136916
chr1	3200000	3225000	-2.651514	0.101614	-1.811103	-1.606002	1.069595	1.207447
chr1	3225000	3250000	-3.148148	0.261008	-1.294527	-1.663006	1.267428	1.230279
chr1	3250000	3275000	-2.273046	0.179682	-1.672257	-1.130550	1.061793	1.217328
chr1	3275000	3300000	-3.323635	-0.070852	-1.292088	-1.590862	1.380700	1.267928
chr1	3300000	3325000	-3.390393	0.903589	-1.668544	-1.596239	1.125541	0.934181
chr1	3325000	3350000	-3.089618	-0.079691	-1.411985	-1.536563	1.203314	1.147878
chr1	3350000	3375000	-3.253203	0.496985	-1.764497	-1.517383	1.143845	1.464968
chr1	3375000	3400000	-3.012003	0.379471	-1.704206	-1.548327	1.369081	1.239659
chr1	3400000	3425000	-1.664721	-0.241625	-1.346189	-1.316272	1.380095	1.289673
chr1	3425000	3450000	-3.368871	-0.183904	-1.727486	-1.932291	1.349224	1.423369
chr1	3450000	3475000	-2.289486	0.107574	-1.646392	-1.473631	1.741784	1.833645
chr1	3475000	3500000	-1.756485	-1.015213	-1.542455	-1.294037	1.662476	1.590008
chr1	3500000	3525000	-1.621801	1.060412	-1.916964	-1.198519	1.671630	1.537986
chr1	3525000	3550000	-3.003062	0.449912	-1.733200	-1.392147	1.629369	1.706125
chr1	3550000	3575000	-1.649172	0.525891	-1.696326	-1.642672	1.561558	1.513376
chr1	3575000	3600000	-2.839910	-1.089716	-1.278760	-1.507240	1.699215	1.634080
